date,commodity,price_modal
2024-08-10,Onion,4529.0123456790125
2024-08-11,Onion,4577.300613496933
2024-08-12,Onion,4628.834355828221
2024-08-13,Onion,4780.981595092025
2024-08-14,Onion,4879.141104294478
2024-08-15,Onion,4895.679012345679
2024-08-16,Onion,4936.80981595092
2024-08-17,Onion,4981.987577639751
2024-08-18,Onion,5003.680981595092
2024-08-19,Onion,5008.588957055214
2024-08-20,Onion,5022.360248447205
2024-08-21,Onion,5015.8536585365855
2024-08-22,Onion,5115.337423312883
2024-08-23,Onion,5209.815950920245
2024-08-24,Onion,5270.552147239264
2024-08-25,Onion,5416.049382716049
2024-08-26,Onion,5450.920245398773
2024-08-27,Onion,5480.246913580247
2024-08-28,Onion,5515.243902439024
2024-08-29,Onion,5549.689440993789
2024-08-30,Onion,5529.0123456790125
2024-08-31,Onion,5533.128834355828
2024-09-01,Onion,5557.668711656442
2024-09-02,Onion,5869.135802469136
2024-09-03,Onion,5570.552147239264
2024-09-04,Onion,5674.8466257668715
2024-09-05,Onion,5795.705521472392
2024-09-06,Onion,5814.7239263803685
2024-09-07,Onion,5822.085889570552
2024-09-08,Onion,5809.815950920245
2024-09-09,Onion,5829.447852760736
2024-09-10,Onion,5875.925925925926
2024-09-11,Onion,5816.666666666667
2024-09-12,Onion,5860.122699386503
2024-09-13,Onion,5798.1366459627325
2024-09-14,Onion,5823.312883435583
2024-09-15,Onion,5930.061349693252
2024-09-16,Onion,6028.395061728395
2024-09-17,Onion,6099.382716049383
2024-09-18,Onion,6128.834355828221
2024-09-19,Onion,6134.567901234568
2024-09-20,Onion,6058.641975308642
2024-09-21,Onion,6081.25
2024-09-22,Onion,6122.699386503067
2024-09-23,Onion,6076.687116564417
2024-09-24,Onion,6068.711656441717
2024-09-25,Onion,6083.030303030303
2024-09-26,Onion,6038.036809815951
2024-09-27,Onion,6025.1533742331285
2024-09-28,Onion,5992.073170731707
2024-09-29,Onion,6057.76397515528
2024-09-30,Onion,6045.061728395061
2024-10-01,Onion,6050.310559006211
2024-10-02,Onion,6027.777777777777
2024-10-03,Onion,5985.2760736196315
2024-10-04,Onion,5990.184049079755
2024-10-05,Onion,5986.419753086419
2024-10-06,Onion,6020.858895705522
2024-10-07,Onion,5973.006134969325
2024-10-08,Onion,5977.777777777777
2024-10-09,Onion,5949.693251533742
2024-10-10,Onion,5931.901840490797
2024-10-11,Onion,5983.333333333333
2024-10-12,Onion,5901.851851851852
2024-10-13,Onion,5895.705521472392
2024-10-14,Onion,5950.306748466258
2024-10-15,Onion,5945.398773006135
2024-10-16,Onion,6022.699386503067
2024-10-17,Onion,5951.829268292683
2024-10-18,Onion,5983.435582822086
2024-10-19,Onion,6014.634146341464
2024-10-20,Onion,6036.80981595092
2024-10-21,Onion,6012.962962962963
2024-10-22,Onion,6015.337423312883
2024-10-23,Onion,6008.536585365854
